RCPT_YR,CGG_NM,STDG_NM,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,종로구,행촌동,,,,단독다가구,62.0,26.45,34000,20250603,1930,중개거래,서울 종로구
2025,종로구,인의동,,,,단독다가구,109.0,110.74,178700,20250604,1911,중개거래,서울 강남구
2025,종로구,계동,,,,단독다가구,158.0,169.06,380000,20250605,1911,중개거래,서울 강남구
2025,종로구,옥인동,,,,단독다가구,59.0,73.42,89300,20250606,2014,중개거래,서울 종로구
2025,종로구,가회동,,,,단독다가구,89.0,42.98,118024,20250609,1999,직거래,
2025,종로구,사직동,,,,단독다가구,101.0,34.36,157000,20250611,1911,중개거래,서울 동대문구
2025,종로구,창성동,,,,단독다가구,156.0,192.75,212500,20250613,1993,중개거래,서울 종로구
2025,종로구,사직동,,,,단독다가구,36.0,19.83,77000,20250613,1911,중개거래,서울 종로구
2025,종로구,안국동,,,,단독다가구,31.0,21.42,35000,20250613,1911,중개거래,서울 종로구
2025,종로구,구기동,,,,단독다가구,136.0,53.92,80000,20250615,1972,직거래,
2025,종로구,창신동,,,,단독다가구,101.0,208.04,87000,20250616,1994,중개거래,서울 종로구
2025,종로구,부암동,,,,단독다가구,155.0,63.17,72500,20250620,1968,중개거래,서울 종로구
2025,종로구,가회동,,,,단독다가구,99.0,60.06,115000,20250620,1911,중개거래,서울 종로구
2025,종로구,신영동,,,,단독다가구,142.0,176.57,128250,20250623,1981,중개거래,서울 종로구
2025,종로구,행촌동,,,,단독다가구,68.0,41.32,31500,20250623,1911,직거래,
2025,종로구,구기동,,,,단독다가구,337.0,229.81,115000,20250623,2004,중개거래,서울 마포구
2025,종로구,숭인동,,,,단독다가구,59.0,31.19,31000,20250625,1930,중개거래,서울 종로구
2025,종로구,누하동,,,,단독다가구,125.0,226.88,260000,20250625,1996,중개거래,서울 종로구
2025,종로구,구기동,,,,단독다가구,238.0,223.92,150000,20250627,2001,중개거래,서울 종로구
2025,종로구,명륜3가,,,,단독다가구,99.0,99.9,55000,20250627,1976,중개거래,서울 종로구
2025,종로구,재동,,,,단독다가구,100.0,62.81,180000,20250627,1961,중개거래,서울 강남구
2025,종로구,숭인동,,,,단독다가구,109.0,260.59,170000,20250630,1995,중개거래,서울 강남구
2025,종로구,숭인동,,,,단독다가구,109.0,260.59,170000,20250630,1995,중개거래,서울 강남구
2025,종로구,평창동,,,,단독다가구,364.0,293.57,310000,20250630,2023,중개거래,"서울 강동구, 서울 종로구"
2025,종로구,창신동,,,,단독다가구,25.0,66.63,41000,20250712,1911,중개거래,서울 종로구
2025,종로구,원남동,,,,단독다가구,70.0,33.06,82000,20250716,1911,중개거래,"서울 성동구, 서울 성북구, 서울 종로구"
2025,종로구,가회동,,,,단독다가구,138.0,175.46,250000,20250716,2018,중개거래,서울 서초구
2025,종로구,충신동,,,,단독다가구,50.0,80.33,18000,20250717,1978,직거래,
2025,종로구,숭인동,,,,단독다가구,39.0,21.43,23000,20250717,1985,중개거래,서울 종로구
2025,종로구,충신동,,,,단독다가구,32.0,23.14,24500,20250718,1911,중개거래,서울 종로구
2025,종로구,원남동,,,,단독다가구,155.0,92.56,160000,20250720,1911,중개거래,서울 성북구
2025,종로구,이화동,,,,단독다가구,267.0,490.18,200000,20250721,1986,중개거래,서울 강남구
2025,종로구,평창동,,,,단독다가구,643.0,314.39,305000,20250724,1985,중개거래,서울 강북구
2025,종로구,가회동,,,,단독다가구,165.0,129.93,210000,20250730,1971,중개거래,서울 강남구
2025,종로구,창신동,,,,단독다가구,34.0,16.53,26000,20250806,1911,중개거래,서울 종로구
2025,종로구,평창동,,,,단독다가구,658.0,370.92,515000,20250813,1997,중개거래,서울 강남구
2025,종로구,체부동,,,,단독다가구,142.0,76.63,168000,20250813,1999,중개거래,서울 강남구
2025,종로구,가회동,,,,단독다가구,852.0,247.93,630000,20250820,1911,중개거래,서울 종로구
2025,종로구,창신동,,,,단독다가구,79.0,107.47,59300,20250824,1990,중개거래,서울 종로구
2025,종로구,명륜3가,,,,단독다가구,42.0,39.67,38000,20250826,1955,중개거래,서울 종로구
2025,종로구,명륜3가,,,,단독다가구,142.0,189.12,76100,20250826,1992,중개거래,서울 종로구
2025,종로구,명륜3가,,,,단독다가구,73.0,101.23,54200,20250827,1990,중개거래,서울 종로구
2025,종로구,명륜3가,,,,단독다가구,73.0,101.23,54200,20250827,1990,중개거래,서울 종로구
2025,종로구,체부동,,,,단독다가구,132.0,76.03,220000,20250828,1911,직거래,
2025,종로구,사직동,,,,단독다가구,39.0,34.0,105000,20250830,1985,중개거래,서울 종로구
2025,종로구,명륜3가,,,,단독다가구,138.0,292.65,120000,20250902,1994,중개거래,서울 종로구
2025,종로구,와룡동,,,,단독다가구,269.0,165.29,172900,20250902,1957,중개거래,서울 종로구
2025,종로구,부암동,,,,단독다가구,744.0,66.12,286000,20250905,1911,중개거래,서울 종로구
2025,종로구,부암동,,,,단독다가구,744.0,66.12,286000,20250905,1911,중개거래,서울 종로구
2025,종로구,부암동,,,,단독다가구,641.0,66.12,274000,20250905,1911,중개거래,서울 종로구
2025,종로구,부암동,,,,단독다가구,744.0,66.12,286000,20250905,1911,중개거래,서울 종로구
2025,종로구,필운동,,,,단독다가구,86.0,55.4,104000,20250905,1911,중개거래,서울 종로구
2025,종로구,혜화동,,,,단독다가구,176.0,378.12,188500,20250910,1994,중개거래,서울 종로구
2025,종로구,명륜3가,,,,단독다가구,120.0,216.0,65000,20250910,1993,중개거래,서울 종로구
2025,종로구,누하동,,,,단독다가구,56.0,44.96,68000,20250912,1994,중개거래,서울 종로구
2025,종로구,원서동,,,,단독다가구,133.0,329.77,150000,20250912,2018,중개거래,서울 강남구
2025,종로구,행촌동,,,,단독다가구,43.0,76.56,54000,20250916,1911,중개거래,서울 종로구
2025,종로구,신문로2가,,,,단독다가구,71.0,24.79,125500,20250916,1965,중개거래,서울 종로구
2025,종로구,명륜1가,,,,단독다가구,119.0,252.26,71500,20250918,1992,중개거래,서울 종로구
2025,종로구,계동,,,,단독다가구,456.0,399.9,595000,20250919,1965,중개거래,서울 강남구
2025,종로구,계동,,,,단독다가구,456.0,399.9,595000,20250919,1965,중개거래,서울 강남구
2025,종로구,명륜3가,,,,단독다가구,73.0,101.23,54200,20250920,1990,중개거래,서울 종로구
2025,종로구,청운동,,,,단독다가구,59.0,37.09,70000,20250921,1961,중개거래,서울 종로구
2025,종로구,가회동,,,,단독다가구,69.0,35.7,60000,20250923,1911,중개거래,서울 종로구
2025,종로구,명륜1가,,,,단독다가구,74.0,89.44,43000,20250928,1997,중개거래,서울 종로구
2025,종로구,와룡동,,,,단독다가구,99.0,67.77,156000,20250930,1961,중개거래,서울 종로구
2025,종로구,창신동,,,,단독다가구,88.0,36.36,40000,20250930,1936,직거래,
2025,종로구,체부동,,,,단독다가구,112.0,173.27,110000,20251001,1994,중개거래,서울 종로구
2025,종로구,재동,,,,단독다가구,115.0,59.5,210000,20251013,1911,중개거래,서울 종로구
2025,종로구,행촌동,,,,단독다가구,69.0,33.06,55000,20251013,1931,중개거래,서울 종로구
2025,종로구,안국동,,,,단독다가구,158.0,116.63,380000,20251013,1965,중개거래,서울 종로구
2025,종로구,재동,,,,단독다가구,132.0,134.31,205000,20251013,1967,중개거래,서울 종로구
2025,종로구,창신동,,,,단독다가구,76.0,42.98,63900,20251014,1935,중개거래,서울 종로구
2025,종로구,사직동,,,,단독다가구,72.0,32.07,140000,20251014,1963,중개거래,서울 종로구
2025,종로구,창신동,,,,단독다가구,69.0,52.07,63000,20251015,1911,중개거래,서울 종로구
2025,종로구,명륜1가,,,,단독다가구,79.0,46.28,58000,20251015,1911,중개거래,서울 종로구
2025,종로구,충신동,,,,단독다가구,89.0,174.75,72700,20251015,1993,중개거래,서울 종로구
2025,종로구,숭인동,,,,단독다가구,62.0,33.06,45000,20251015,1939,직거래,
2025,종로구,누하동,,,,단독다가구,49.0,23.14,66000,20251015,1955,중개거래,서울 종로구
2025,종로구,창신동,,,,단독다가구,51.0,19.83,45000,20251015,1949,중개거래,서울 종로구
2025,종로구,평창동,,,,단독다가구,327.0,157.4,195000,20251017,1969,중개거래,서울 종로구
2025,종로구,평창동,,,,단독다가구,497.0,217.52,280000,20251018,1979,중개거래,서울 서초구
2025,종로구,창신동,,,,단독다가구,138.0,131.57,94500,20251022,1974,중개거래,서울 종로구
2025,종로구,창신동,,,,단독다가구,138.0,131.57,94500,20251022,1974,중개거래,서울 종로구
2025,종로구,홍지동,,,,단독다가구,89.0,108.32,45000,20251026,2008,중개거래,서울 종로구
2025,종로구,평창동,,,,단독다가구,411.0,164.3,178000,20251027,1979,중개거래,서울 종로구
2025,종로구,종로6가,,,,단독다가구,52.0,73.26,26000,20251031,1911,중개거래,서울 종로구
2025,종로구,명륜1가,,,,단독다가구,165.0,85.95,158000,20251101,1911,중개거래,서울 종로구
2025,종로구,계동,,,,단독다가구,66.0,29.75,108000,20251105,1959,중개거래,서울 강남구
2025,종로구,계동,,,,단독다가구,66.0,29.75,108000,20251105,1959,중개거래,서울 강남구
2025,종로구,통인동,,,,단독다가구,102.0,140.27,102000,20251105,2002,직거래,
2025,종로구,계동,,,,단독다가구,23.0,19.83,20000,20251105,1911,직거래,
