RCPT_YR,CGG_NM,STDG_NM,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,용산구,보광동,,,,단독다가구,188.0,193.6,440000,20250314,1969,중개거래,"서울 서초구, 서울 성동구, 서울 용산구"
2025,용산구,후암동,,,,단독다가구,119.0,139.47,180000,20250315,1975,중개거래,"서울 양천구, 서울 용산구"
2025,용산구,보광동,,,,단독다가구,56.0,191.95,350000,20250315,1996,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,49.0,27.42,240000,20250316,1985,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,185.0,245.62,250000,20250317,1989,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,198.0,240.59,600000,20250317,1978,중개거래,서울 용산구
2025,용산구,한강로3가,,,,단독다가구,58.0,28.34,147000,20250318,1985,중개거래,"경기 과천시, 서울 용산구"
2025,용산구,보광동,,,,단독다가구,101.0,173.55,390000,20250319,1967,중개거래,서울 용산구
2025,용산구,용산동2가,,,,단독다가구,94.0,150.55,115000,20250319,1987,중개거래,서울 용산구
2025,용산구,한강로3가,,,,단독다가구,70.0,41.52,190000,20250319,1960,중개거래,서울 용산구
2025,용산구,동빙고동,,,,단독다가구,165.0,229.44,520000,20250319,1993,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,101.0,173.55,390000,20250319,1967,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,288.0,642.27,960000,20250320,1991,중개거래,서울 강남구
2025,용산구,한강로3가,,,,단독다가구,56.0,29.79,150000,20250321,1985,중개거래,서울 용산구
2025,용산구,동빙고동,,,,단독다가구,142.0,181.45,425000,20250322,1985,중개거래,서울 용산구
2025,용산구,갈월동,,,,단독다가구,127.0,52.56,145000,20250323,1953,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,69.0,209.52,300000,20250325,1969,중개거래,서울 용산구
2025,용산구,신창동,,,,단독다가구,189.0,93.69,337000,20250326,1942,중개거래,서울 용산구
2025,용산구,동빙고동,,,,단독다가구,169.0,315.4,508000,20250327,1990,중개거래,서울 용산구
2025,용산구,동빙고동,,,,단독다가구,169.0,315.4,508000,20250327,1990,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,89.0,131.32,103000,20250328,1994,중개거래,서울 용산구
2025,용산구,주성동,,,,단독다가구,154.0,241.47,500000,20250328,1989,중개거래,"경기 고양시 일산동구, 서울 용산구"
2025,용산구,서계동,,,,단독다가구,34.0,17.48,59750,20250329,2008,중개거래,서울 용산구
2025,용산구,한강로3가,,,,단독다가구,48.0,28.34,147000,20250331,1985,중개거래,"경기 과천시, 서울 용산구"
2025,용산구,보광동,,,,단독다가구,96.0,137.68,335000,20250331,1981,중개거래,서울 용산구
2025,용산구,한남동,,,,단독다가구,50.0,93.95,83029,20250401,1961,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,149.0,134.31,422000,20250401,1979,중개거래,서울 용산구
2025,용산구,주성동,,,,단독다가구,85.0,45.8,140000,20250401,1985,중개거래,서울 용산구
2025,용산구,용산동2가,,,,단독다가구,166.0,308.01,230000,20250401,2007,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,105.0,119.97,320000,20250402,1994,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,89.0,191.78,350000,20250403,1996,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,126.0,184.83,390000,20250403,1990,중개거래,서울 성동구
2025,용산구,보광동,,,,단독다가구,89.0,191.78,350000,20250403,1996,중개거래,서울 용산구
2025,용산구,한강로3가,,,,단독다가구,60.0,32.13,170000,20250406,1985,중개거래,서울 용산구
2025,용산구,동빙고동,,,,단독다가구,149.0,80.03,440000,20250406,1970,중개거래,"서울 관악구, 서울 용산구"
2025,용산구,동빙고동,,,,단독다가구,149.0,80.03,440000,20250406,1970,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,60.0,35.24,275000,20250411,1960,중개거래,"서울 성동구, 서울 용산구"
2025,용산구,용산동2가,,,,단독다가구,95.0,138.28,78000,20250411,1989,중개거래,서울 용산구
2025,용산구,청파동2가,,,,단독다가구,56.0,24.69,79000,20250415,1969,중개거래,서울 용산구
2025,용산구,한강로3가,,,,단독다가구,89.0,40.03,194000,20250417,1959,중개거래,서울 용산구
2025,용산구,한강로3가,,,,단독다가구,41.0,39.0,150000,20250419,1984,중개거래,서울 용산구
2025,용산구,한강로3가,,,,단독다가구,79.0,30.11,180000,20250421,1959,중개거래,서울 용산구
