CLS_FULLNM,CLS_ID,CLS_NM,DTACYCLE_CD,DTA_VAL,GRP_FULLNM,GRP_ID,GRP_NM,ITM_FULLNM,ITM_ID,ITM_NM,STATBL_ID,UI_NM,WRTTIME_DESC,WRTTIME_IDTFR_ID
서울>강남>청담,520016,청담,QY,104.128408483942,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경기>동탄센트럴파크,520122,동탄센트럴파크,QY,98.1475545835149,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
충남,500013,충남,QY,108.226963885273,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경남>진해석동,520235,진해석동,QY,108.421637479905,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>강남>테헤란로,520017,테헤란로,QY,98.3240990638251,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
전북,500014,전북,QY,109.310824388998,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>강남>한티역,520018,한티역,QY,93.1330928958255,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경남>창원명곡동,520236,창원명곡동,QY,108.992063795387,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
부산>해운대,520059,해운대,QY,107.905262903311,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경남>창원시청,520237,창원시청,QY,112.392414569611,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
부산>현대백화점주변,520060,현대백화점주변,QY,109.113207258552,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
전남,500015,전남,QY,110.338319955407,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경북,500016,경북,QY,106.2845557098,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경남>창원역,520238,창원역,QY,138.909745994259,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
부산>화명역,520061,화명역,QY,91.9295484306344,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>영등포신촌>신촌/이대,520021,신촌/이대,QY,104.001766722375,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>영등포신촌>여의도,520022,여의도,QY,100.283341116264,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경남,500017,경남,QY,109.835533753494,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경남>창원월영동,520239,창원월영동,QY,118.636112556023,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경남>창원의창구청,520240,창원의창구청,QY,106.538271812909,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
제주,500018,제주,QY,101.112811024379,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경기>병점역,520127,병점역,QY,107.586311268728,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경기>부천역,520128,부천역,QY,101.610535782267,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>영등포신촌>홍대/합정,520024,홍대/합정,QY,96.6557074200595,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경기>분당역세권,520129,분당역세권,QY,100.257570179488,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경기>산본역,520130,산본역,QY,100.465814967852,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>기타>건대입구,520027,건대입구,QY,95.0685221457493,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>기타>노원역,520028,노원역,QY,93.7778953463327,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>기타>명일역,520029,명일역,QY,95.2161878332491,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경기>상중동,520132,상중동,QY,103.050895831968,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>기타>목동,520030,목동,QY,94.8364159977302,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>기타>불광역,520031,불광역,QY,96.0094440450765,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>기타>사당,520032,사당,QY,98.050683617826,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경기>송내역,520137,송내역,QY,99.3653655347256,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>기타>성신여대,520034,성신여대,QY,102.242552022126,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
서울>기타>수유,520035,수유,QY,99.2373747689296,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경기>수원역,520138,수원역,QY,98.691909650061,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
경기>시흥시립도서관,520139,시흥시립도서관,QY,102.322085562206,,,,지수,100001,지수,TT247193134654396,지수,2014년 1분기,201401
